Header,seconds,nanoseconds,Orientation.x,Orientation.y,Orientation.z,Orientation.w,Linear.x,Linear.y,Linear.z,Angular.x,Angular.y,Angular.z,Magnetic.x,Magnetic.y,Magnetic.z,Roll,Pitch,Yaw
738,58226,363196226,0.00697908743282684,-0.00853029055872595,0.997933682135571,0.0633000200705369,-0.104,0.134,-9.545,0.001004,0.001147,-0.000491,-0.00001615,-0.00000651,0.000021,-0.925,-0.86,172.748
739,58226,388192226,0.00699557975676551,-0.00854040710137052,0.997930704924789,0.0633437564304774,-0.167,0.157,-9.542,-0.000863,-0.00365,-0.000064,-0.00001595,-0.00000621,0.00002084,-0.926,-0.862,172.743
740,58226,413256226,0.00701192197026572,-0.00855064747619655,0.997926618925511,0.0634049100458233,-0.178,0.172,-9.509,-0.001657,0.000017,0.000383,-0.00001615,-0.00000626,0.00002123,-0.927,-0.864,172.736
741,58226,438243226,0.00703727038453065,-0.00856119701143596,0.997924673224194,0.0634312959165499,-0.139,0.135,-9.52,-0.002626,-0.016553,-0.000461,-0.000016,-0.00000601,0.00002118,-0.928,-0.867,172.733
742,58226,463233226,0.00708745789287393,-0.00859922227552287,0.997925057021508,0.0634145242471559,-0.122,0.185,-9.508,-0.003831,-0.019522,0.000771,-0.000016,-0.00000641,0.00002073,-0.932,-0.873,172.735
743,58226,488202226,0.00710218354529857,-0.00864380761049463,0.99792509233558,0.0634062588859013,-0.117,0.18,-9.555,-0.003615,-0.004017,0.00233,-0.00001614,-0.00000606,0.00002072,-0.937,-0.875,172.736
744,58226,513228226,0.00715992206209894,-0.0086915908205755,0.997920893715732,0.0634592912871451,-0.183,0.15,-9.6,-0.001401,0.001332,0.001719,-0.00001609,-0.00000576,0.00002072,-0.942,-0.882,172.73
745,58226,538236226,0.00716888130814469,-0.00868368524907955,0.997918682159654,0.0634941300280936,-0.168,0.098,-9.537,-0.001605,-0.007395,0.002705,-0.0000161,-0.00000646,0.00002134,-0.941,-0.883,172.726
746,58226,563446226,0.00718566845620387,-0.00869356241396737,0.997917908746868,0.0635030357043679,-0.14,0.134,-9.498,-0.000709,-0.003073,0.000768,-0.00001609,-0.00000596,0.00002061,-0.942,-0.885,172.725
747,58226,588388226,0.00721005547266257,-0.0087214099402017,0.997916910785639,0.0635121348781758,-0.059,0.134,-9.482,-0.003521,-0.007497,0.001378,-0.000016,-0.00000596,0.00002078,-0.945,-0.888,172.724
748,58226,613298226,0.00728573755686472,-0.00876986684978257,0.997916431746983,0.0635043519221983,-0.153,0.138,-9.475,-0.002589,-0.003961,0.003702,-0.00001624,-0.00000591,0.0000211,-0.95,-0.897,172.725
749,58226,638282226,0.00735192665155219,-0.00882667028213272,0.997914277921799,0.063522696621408,-0.165,0.108,-9.527,-0.005801,-0.007361,0.002852,-0.0000161,-0.00000631,0.00002078,-0.956,-0.905,172.723
750,58226,663245226,0.00738335715073947,-0.00888119812090394,0.997912965692179,0.0635320648221131,-0.186,0.159,-9.556,-0.002928,-0.001594,0.000526,-0.00001605,-0.00000636,0.00002095,-0.962,-0.909,172.722
751,58226,688285226,0.00740781939635717,-0.0089089831951957,0.997912511261923,0.0635324649068651,-0.156,0.153,-9.513,-0.001432,0.001988,0.002365,-0.0000161,-0.00000606,0.00002083,-0.965,-0.912,172.722
752,58226,713246226,0.0074665611858065,-0.008947689678781,0.997911679858963,0.0635332079666521,-0.162,0.145,-9.519,-0.003695,-0.0075,0.001147,-0.00001615,-0.00000651,0.00002117,-0.969,-0.919,172.722
753,58226,738238226,0.00749878538888009,-0.00898506355365775,0.997908295000071,0.0635772885603013,-0.176,0.159,-9.508,-0.002675,-0.004371,0.002791,-0.000016,-0.00000646,0.00002141,-0.973,-0.923,172.717
754,58226,763303226,0.00749743548204628,-0.00901092702426729,0.9979102780946,0.0635426512549912,-0.164,0.14,-9.518,-0.000285,-0.002452,0.003311,-0.00001605,-0.00000596,0.0000205,-0.976,-0.923,172.721
755,58226,788358226,0.00755744347265526,-0.0090320851512724,0.997910703586687,0.0635258542099214,-0.174,0.156,-9.528,-0.001246,-0.001446,0.003233,-0.0000161,-0.00000616,0.00002128,-0.978,-0.93,172.723
756,58226,813258226,0.00759940187450498,-0.00906090985992445,0.997910643078628,0.0635176938660277,-0.178,0.163,-9.527,-0.002072,-0.005594,0.00271,-0.00001605,-0.00000641,0.00002106,-0.981,-0.935,172.724
757,58226,838247226,0.00760747691493911,-0.00907023773965213,0.997909933793224,0.0635265386995015,-0.158,0.153,-9.566,0.000339,-0.00072,0.000681,-0.0000161,-0.00000641,0.00002095,-0.982,-0.936,172.723
758,58226,863204226,0.00759861013311482,-0.00906981720701678,0.997908900736224,0.0635438853966032,-0.177,0.167,-9.546,-0.00077,0.003059,0.000421,-0.00001609,-0.00000606,0.00002123,-0.982,-0.935,172.721
759,58226,888192226,0.00759805560781565,-0.00907852560464772,0.99790882154914,0.0635439517045664,-0.179,0.151,-9.544,-0.0011,0.000824,-0.000446,-0.00001615,-0.00000656,0.0000214,-0.983,-0.935,172.721
760,58226,913251226,0.00758918869103411,-0.0090781047555573,0.997907788118285,0.0635612983027404,-0.14,0.131,-9.532,0.000232,0.003435,0.000393,-0.00001605,-0.00000636,0.00002135,-0.983,-0.934,172.719
